start,end,text
2436000,2444160," whole connection. Right. Uh, the German government still, okay. The German government still my data. So that's what's going on."
2444160,2454080," Uh, so, it's going on the whole connection. This issue has led to a large number of postings on mailing lists,"
2454080,2466160," usenet and fora, and this all quickly zero in, in on the so linger socket option, which appears to have been written with just this issue in mind."
2466160,2475440," Uh, when enabled a close or shutdown, and we haven't talked about shutdown. Shutdown is actually a very interesting function. Uh, right."
2475440,2481520," So people who work with tokens for the first time kind of ignore this specific function, but it's actually a very important one."
2482080,2490320," So these functions will not return until all queued messages for the socket have been successfully sent,"
2490320,2497120," or the linger timeout has been reached. Otherwise, the call returns immediately, and the closing is done"
2497120,2502880," in the background. When the socket is closed as part of the exit, it always lingers in the background."
2502880,2510080," Okay. So we set this option, rerun our program, and it still does not work. Not all our million bytes arrive."
2511040,2516480," Okay. So I don't even know, does it? Right. So we actually need to check that. Um, so,"
2516480,2522560," how do you set this so linger? So you actually set option or something like that. So they didn't even"
2522560,2528720," provide any good examples or anything like that, but, but I want to test that. Um, so, and honestly,"
2528720,2538000," like, I really don't like, uh, how it just fails with connection reset, but I guess that's what's"
2538000,2545040," happening nonetheless, right? So, because you close the connection and it resets, but anyway,"
2545040,2550320," set sock opt. Yeah, yeah, yeah. So it's a set sock opt. We just need to see how exactly you do that."
2551040,2563520," Right. Set sock opt. So, so, so linger. Maybe we can Google up, uh, so linger example. Let's go."
2564400,2575920," So when this option is required. So, so linger. Damn. In 2024."
2578320,2585040," That's very interesting. So I remember that, so linger actually, um, you know, accepts like a"
2585040,2591280," structure and stuff like that. Right. So this is the structure you have to, yeah, you literally have to"
2591280,2597600," set it's like to true, and then you have to set the linger timeout and then you set it like that."
2597600,2607840," So let's actually go ahead and do that. Uh, right. All right. All right. All right. So a and b, um, so this is"
2607840,2621280," linger. So linger, uh, we set it to true, and then we also set option. Um, so we set it to socket, uh, and"
2622560,2628240," that should be it. Oh, I keep forgetting that size of actually doesn't accept parentheses."
2628240,2634880," It's so funny. Everyone, uh, writes size of with parentheses, but size of is actually kind of"
2634880,2642160," similar to return. You don't do return like this. Right. It's, it's an operator. It's like, I keep"
2642160,2647600," forgetting about that. Right. So I so good used to like calling this as a function. I forgot that you can"
2647600,2654160," actually call it like that. Um, Casey does. Right. So Casey actually does, I suppose he does"
2654160,2661440," this kind of thing for the same reason, like why he does size off for the consistency. Uh, right. So"
2661440,2668480," some sort of for the consistency, but anyway, so here we said, so linger, uh, right. And if I try to"
2668480,2674000," rebuild this entire thing, so it's true, we probably have to put one in here or something. Maybe we can put"
2674000,2681520," true. Uh, yeah. And true is actually part of the boolean. So that's what we have to do in here. Yeah."
2681520,2688960," I don't know how good of an idea it is to do things like that, but it is what it is. Uh, so let's SSH to"
2688960,2702080," here, right to this machine. And let's go to here, run B. Um, uh, what was that? You don't know."
2703760,2716880," It was actually probe. I forgot where it was. Yeah. Here it is. So it's that B and then we are going to start A."
2716880,2727280," Oh, that is funny. It even kind of waited a little bit, but it still didn't receive everything."
2730960,2740160," Yeah. We still didn't receive everything. So if I don't set this option, right. Uh, will it have this"
2740160,2747440," timeout? Let's measure the timeout. I'm really curious. So here's that. Then I do time. So it took"
2747440,2756560," like one second or so. Okay. So now if I go here and I do not linger at all, uh, just rebuild everything"
2756560,2762960," just in case and just do A. Nah, it's, it's pretty much the same amount of time. So yeah,"
2762960,2767440," the option doesn't affect anything, right? The option doesn't affect anything. Like you still,"
2767440,2773120," um, you know, don't receive all of the data. And that's exactly what the article said, by the way."
2773120,2780240," That's exactly what the article said. Okay. How come I suppose? Uh, how come it turns out that in this case,"
2786560,2793120," that's the nerdiest shit I've ever read in a while, that a clause with any pending readable data could"
2793120,2803280," lead to an immediate reset being sent. Right? Okay. Uh, so a host may implement a half-duplex"
2803280,2810880," TCP close sequence so that an application that has called close cannot continue to read data from the"
2810880,2818240," connection. If such host issues a close call while receiving data is still pending in TCP or if new data"
2818240,2826480," received after close is called, uh, its TCP should send RST to show that data was lost. Okay."
2828480,2836000," So yeah, that's, that's really bizarre. So Linger exists kind of to, to like send all of the pending"
2836000,2841280," data, but at the same time, there is additional section that says that if you did close, it will"
2841280,2847520," actually send RST indicating that the data was lost. It's bizarre. It's kind of like these two things"
2847520,2852320," contradict to each other, right? This thing says, oh, okay, we're going to wait until all the data is"
2852320,2856160," sent out and here, but if you close it, we're going to indicate that it's kind of lost."
2858160,2864720," It's just so bizarre to me, but anyway, that's how it is. And in our case, we have such data pending."
2864720,2875280," The, ah, so it only happens when there's some data that you, that you need to read pending."
2875280,2887280," That is so interesting. So that means if in B I remove that stupid welcome, right? That was actually asking"
2887280,2895840," question about it, it might actually work. Is that the case, right? If I just remove this line so that"
2895840,2904240," you tell me that Linger will work now, it only loses the data when there is something for A to read,"
2904240,2909680," because B sent this welcome. That's such a weird, okay. So let's actually test it out."
2910240,2916640," Um, push-act issue. Maybe like the problem is that I don't really know the specifics of TCP,"
2916640,2923360," right? So I know that it has seen, act, whatever, but I don't really know when and what is sent,"
2923360,2928640," right? So I only know about this thing as terms, but how exactly they are implemented. I don't know"
2928640,2933840," anything about. Maybe I'm going to do a stream where I like literally learn TCP protocol, or maybe try to"
2933840,2938720," implement the TCP protocol just to learn it, because I know almost nothing about it, except that you send"
2938720,2943600," some data and you have to acknowledge it, right? So that's the only thing I know. Anyway, so let's"
2943600,2948000," actually remove this thing, uh, right? So let's rebuild this in desktop and I'm going to actually run,"
2948000,2955360," uh, right? And in here, I'm going to let's not linger. Let's not linger. Uh, it's going to be -B and"
2955360,2963280," I'm going to just run this thing. Okay. And we received everything actually. Huh? Without the"
2963280,2971200," linger, by the way. We just received everything without the linger. Uh, right. Huh? We didn't,"
2971200,2978400," we didn't even need linger. That's funny. But yeah, we received everything. But now, welcome. So"
2978400,2984560," apparently that welcome is important to reproduce the problem because you have some pending data."
2985360,2991600," Uh, right. So now we have some pending data. Panger data. And we didn't receive everything."
2991600,3005680," So the worst part of TCP is that by default, if you're doing something simple in a naive way,"
3005680,3011760," it will just work until you start doing something more complex and only then it will actually start"
3011760,3019760," show you this kind of bullshit. Right. So you will slap together a very simple solution. It will work."
3019760,3026720," Then you deploy it to production and then you realize you know nothing about TCP. So that's the best part of"
3026720,3033360," working with TCP, by the way. Um, that's why you should read out socket before closing. Exactly. And this is"
3033360,3038560," what this article is talking about, by the way. So that's one of the things before closing, you have to drain"
3039200,3046240," the, uh, the pending read data before closing it. So then, uh, linger works properly. Um,"
3046240,3053440," is this related to half duplex, full duplex? Kind of is. It kind of is. I, I'm also not fully understanding"
3053440,3059600," it, but it's kind of fascinating nonetheless. I'm also kind of learning, um, with you. So in our case,"
3059600,3064960," uh, we have such data pending, which is welcome, which was submitted in program B, but never read in the program"
3064960,3070400," A. If that line has not been sent by program E, it is most likely that all our data would have arrived"
3070400,3078160," correctly. Okay. That's pretty cool. So if we read the data first and linger, uh, and linger, are we good to go?"
3078160,3086320," Not really. I really fucking like this article. It's just, it's like, you can feel that it was a huge"
3086320,3092080," rabbit hole for the author of this article. It's just beautiful. Uh, not really. The close call really"
3092080,3099440," does not convey what we, what we are trying to tell the kernel. Please close the connection after sending"
3099440,3107920," all the data I submitted through right. Luckily, the system called shutdown is available, which tells the"
3107920,3114640," kernel exactly this. So this is the kind of the purpose of shutdown, uh, right? So there's a shutdown"
3114640,3120400," and there's a close, and these are two different operations. Shutting down the, um, you know, socket"
3120400,3128480," and closing the socket is not the same. Uh, so however, it all, it alone is not enough. When shutdown returns,"
3128480,3135040," we still have no indication that everything was received by program B, right? So let's actually"
3135040,3143840," take a look at, uh, like shutdown because it's rather interesting, uh, by itself, the definition of shutdown."
3143840,3151440," Shutdown part of the full duplex connection, right? So you shut down a specific socket and you shutting"
3151440,3159840," down the end of the connection, essentially how, right? So this call causes all or part of the full"
3159840,3166080," duplex connection on the socket associated with the socket of d to be shut down. If how is shut rd,"
3166080,3172960," further reception will be disallowed. So you shutting down the read end of the socket, but you will be"
3172960,3178320," able to write into it while the read is shut down. So you just basically telling the kernel that I'm not"
3178320,3184080," going to be reading any more data. And I suppose if there is any pending data, it will tell, it will"
3184080,3190880," basically notify the other end that it was lost or something. So if how is shut rd, further transmission"
3190880,3196800," will be disallowed. If how is both of them, further reception and transmission will be disallowed. So"
3196800,3208080," that's basically what shutdown is. Um, right. So, um, okay. Let's take a look at it. Um, we can, uh,"
3208080,3215040," what we can do, however, is issue shutdown, which will lead to a fin packet being sent to program B."
3215040,3221440," Program B in turn will close down its socket and we can detect this from program A. A subsequent read will"
3221440,3229760," return zero. Right. So the idea, how you even close all of that. So in the program B, we sent all of the"
3229760,3238240," data and we're shutting down the right end of the socket. Essentially, we sent all of the data and we"
3238240,3246400," then telling the kernel, we're not going to be sending any more data. So that's what we're saying. After that,"
3246400,3252240," we're draining all of the pending read data and only then closing the socket."
3252240,3263200," That's the correct way to actually send some data over TCP and close it. Right. If you don't do this stuff,"
3263200,3269600," you're going to have a lot of problems. Honestly, you, you, you kind of have to do this kind of thing, shut down"
3269600,3278160," the right end and then drain the pending stuff. So is this perfection? Well,"
3278160,3288800," if we look at the HTTP protocol, their data is usually sent, uh, with length information included,"
3288800,3294880," either at the beginning of an HTTP response or in the course of transmitting information,"
3294880,3300480," so-called chunked mode. Right. So even that is not enough. Right. So you need to implement some"
3300480,3308000," additional mechanism at the protocol at the layer higher, just to, just to be safe, you know, uh,"
3308000,3314960," using the shutdown technique above really only tells us that the remote closed the connection. It does not"
3314960,3320400," actually guarantee that all data was received correctly by the program B. The best advice is to"
3320400,3325760," send length information and to have the remote program actively acknowledge that all data was received."
3325760,3331840," Isn't that the point of TCP to acknowledge the data that was received?"
3331840,3339440," Uh, this only works if you have the ability to choose your own protocol, of course."
3339440,3345840," Um, so yeah, what's funny about this entire thing, I like, you kind of read upon it"
3346560,3352640," and you still don't fully understand what is going on. So yeah, it's just like, it feels like this is"
3352640,3359040," this kind of thing that you have to do. Right. So, and I, I literally had problems because I was not"
3359040,3364720," doing that in, uh, you know, WebSocket implementation. I just added this kind of thing to my WebSocket"
3364720,3369840," implementation and it like all the, like cases started to work automatically. So it's just like something"
3369840,3376160," that you have to do apparently. Uh, right. So we can try to do that maybe, uh, in a program a.c."
3376160,3384880," I'm sure if we need to even linger in here, but anyway, so, uh, we send some data and we're going to"
3384880,3392320," just shut down sock, uh, shut writing. So we're not going to be writing anything anymore. So on top of that,"
3392320,3402160," uh, so we can just drain the buffer, right. So we're simply draining the buffer, uh, like so. Um,"
3402160,3407760," so we're draining it in chunks though. And the chunks are smaller than this, but yeah, so everything seems"
3407760,3414960," to be okay. Uh, now if I rebuild this entire stuff, so it doesn't like something about, ah,"
3414960,3426800," uh, so it has to be int, uh, let's not run a, by the way. So there's an exit in here, uh, std lib and stuff"
3426800,3433920," like that, stuff like that. Okay. So everything seems to be working. Um, if I try to just do that,"
3433920,3444800," so this is b, right, no linger, uh, a, and everything seems to be working. So I think I"
3444800,3450560," had some modifications in here. I, yeah, I still send welcome, right? So I do in fact still send welcome."
3450560,3459360," Uh, and now what if I go to a.c and I just don't do any of that stuff and I just close the connection,"
3460160,3465680," uh, uh, make b, this should be a little of the stuff. Yeah. Some of the data got lost. I do this"
3465680,3473440," kind of thing without any linger, uh, right. And, uh, everything was transmitted correct."
3473440,3479840," So that's what's going on here. Oh yeah. The people's also mentioned like beach's guide to"
3479840,3485040," C programming and stuff like that. There's a lot of information online about this, uh, this kind of stuff."
3486080,3494000," Um, right. So what else can be done? If you need to deliver string data to a stupid TCP IP hole in the wall,"
3494000,3501120," uh, as I've had to, as I've had to do a number of times, it may be impossible to follow the sage"
3501120,3507920," advice above about sending, uh, length information and gaining acknowledgments. In such cases, it may not be"
3507920,3514480," good enough to accept the closing of the receiving side of the socket as an indication that, uh, everything"
3514480,3520080," arrived. Luckily, it turns out that the Linux keeps track of the amount of acknowledged data,"
3520080,3528960," which can be queued, uh, using, uh, I, this I octo. One, once we see this number hit zero, we can be"
3528960,3535200," reasonably sure or sure our data reached at least the remote operating system. Unlike the shutdown technique,"
3535200,3541360," the described above thing, uh, appears to be Linux specific updates for other operating systems are"
3541360,3549520," welcome. So honestly, uh, I didn't use this thing in my web socket implementation and it worked fine."
3549520,3556160," Right. And on top of that, it is again, a Linux specific thing. So maybe it's not really that"
3556160,3562080," important, right? So it feels like none of these solutions are going to work well anyway. So you're"
3562080,3568640," always going to have some trouble, right? So, because it's a, you know, freaking networking, uh, but how come"
3568640,3576560," it just worked lots of times? As long as you, uh, as you have no unread pending data, the stars and moon"
3576560,3583840," are aligned correctly, your operating system is of a certain version, you may remain blissfully unimpacted"
3583840,3592400," by the story above. And things will quite often just work, but don't count on it. Okay. Some notes"
3592400,3600000," on non-blocking sockets. Volumes of communications have been devoted, uh, to the intricacies of so-linger"
3600000,3606320," versus no-blocking sockets. From what I can tell, the final word is don't do it. Rely on"
3606320,3612320," the shutdown followed by read and the file technique instead, using the appropriate calls to poll,"
3612320,3620080," epoll, select, of course. Okay. So even with, uh, non-blocking sockets, just do the shutdown"
3620080,3626320," followed by read approach, right? So just, just do that always, I suppose. A few words on the Linux"
3626320,3634880," send file and splice system calls. Send file is an interesting system call, right? So I barely use this, uh,"
3634880,3641760," thing, but it can actually speed up some servers. Uh, so essentially it accepts"
3641760,3649920," only file descriptors, but it doesn't accept any buffers, right? So in case of right, right, in case of"
3649920,3656160," right, um, out, it's a wrong right. I need a different right. I think I need a right to electric boogaloo."
3656160,3663040," So you accept the file descriptor and also you pass a buffer, like a little point to the bytes to send"
3663040,3668720," to the file system or to the network. This one is really interesting. It accepts two file descriptors,"
3668720,3676320," right? So you open a file somewhere on a hard drive and you also have a file descriptor that is a socket."
3676320,3682400," And you can literally with this syscall say, okay, copy the contents of that file to that socket."
3682400,3690320," The cool thing in here is that it does all of that in kernel, right? So with right, what you're going"
3690320,3696400," to be doing, you're going to be in the loop, constantly calling right syscall. What that means?"
3696400,3701360," Every time you call right syscall, you switch the context to kernel. Kernel sends a bunch of"
3701360,3706240," information and then switches context back to the user space. And then you call right again. And"
3706240,3711680," basically the context jumps between kernel and user space, kernel and user space, kernel and user space."
3711680,3718640," In here, right, you can essentially avoid all of that. You have the file descriptor for the file open,"
3718640,3724800," you have file descriptor open for the socket. You just tell the kernel, okay, transfer data from that,"
3724800,3729760," you know, file descriptor to that file descriptor and you don't jump between the context anymore."
3729760,3737600," This is actually kind of a cool, you know, kind of a cool syscall, right? And like, I think"
3737600,3746320," different web sockets, web servers, I'm sorry, like Nginx, they have a compilation flag that mentions send"
3746320,3754400," file, right? So you can configure web servers to use send file to actually serve, I suppose,"
3754400,3760880," static content. And as far as I know, it actually speeds up the, you know, the performance of the web"
3760880,3765840," web server. So this, this kind of stuff is useful for web servers, Nginx and stuff like that."
3765840,3772960," So it's kind of cool. I really like the syscall. I never really seriously use it. I think I use it only"
3772960,3778960," once. But I mean, I didn't use it in a setup where I could like meaningfully measure the improvements of"
3778960,3784000," performance, right? So in that case, it's kind of like no dopamine hit, unfortunately."
3784000,3788880," So, so they're talking about that. I don't know anything about splice. I'm actually kind of curious"
3788880,3796000," about splice. So what's up with that? What's this thing? Splice data to and from pipe. So it accepts"
3796000,3804160," input and this one output moves data between two files descriptive without copying between kernel address"
3804160,3810000," space and user space. Okay. I guess it's kind of similar, right? So, but, but at the same time,"
3810000,3816720," different. So it should also be noted that the Linux syscall send final splice hit a spot in between."
3816720,3824240," They usually manage to deliver the content of the file to be sent, even if you immediately call close."
3824960,3830720," Okay. And by the way, it's, it's really important to remember that send file is a Linux specific thing,"
3830720,3835680," right? If your application uses this thing, it might not be portable to, for example, FreeBSD."
3835680,3841200," So, because as far as I know, FreeBSD doesn't have this syscall. So FreeBSD has a compatibility layer"
3841200,3847680," with Linux, right? So essentially Linux executables in that compatibility mode can work on FreeBSD. So"
3847680,3852800," technically maybe FreeBSD does have sent file, right? It kind of emulates sent file to make the"
3852800,3859680," Linux application works. But I know nothing about FreeBSD at all. Right. They usually manage to,"
3859680,3865120," to be sent, even if you immediately call close after, after the, after the return. This has to do,"
3865120,3873040," this has to do with the fact that splice, on which sent file is based, can only safely return after all"
3873040,3882640," packets have hit the TCP stack since it's zero copy and can't very well change its behavior if you modify"
3882640,3890320," a file after the call returns. Okay. Please know that the function do not wait until all the data"
3890320,3896000," has been acknowledged. It only waits until it has been sent. Oh, okay. So it doesn't acknowledge anything."
3896000,3899920," But we're not going to be using that anyway. And in my WebSocket implementation, I was not using these"
3899920,3907440," syscalls anyway. So yeah, that's basically how you're supposed to work with TCP sockets. That's how"
3907440,3914000," we're supposed to send data. And that's how we're supposed to close the, close the sockets, which is"
3914000,3922400," kind of funny, isn't it? So it is in fact kind of funny. So, and essentially what I want you to do,"
3922400,3929680," I want you to take this knowledge and maybe apply to my notification app, right? So which is called Tor,"
3929680,3936880," right? So I already streamed this app, uh, before. Let me actually find the previous episodes that we"
3936880,3943040," had in here. So let me find, I think it's at Sodin Daily. Can I, can I just find the Sodin Daily channel?"
3943040,3948640," Uh, right. And there was this pretty cool session called server-side rendering in C."
3949200,3957920," Right. So I'm going to put this thing in the chat. For people in, on YouTube, I'm going to actually put"
3957920,3965520," that in here. So it's, it's basically called, uh, Tor, total recall, um, like this. So it doesn't do"
3965520,3972080," anything if you just call it. Right. But you can actually add some notifications, like full bar buzz."
3972800,3978320," Right. And one of the things you're supposed to do, you're supposed to put Tor call in your basher scene."
3978320,3985040," Right. Uh, and essentially every time you open the terminal, it actually shows you the reminders"
3985040,3991200," that you edit in there. Um, not reminders, but notifications. So on top of that, it has mechanisms"
3991200,3996560," of reminders and reminders are generators of notifications. So essentially you can configure"
3996560,4002080," a reminder to fire off every month, every week, every day and stuff like that. So, and essentially,"
4002080,4007280," when you open up a terminal, you may get a periodic reminder to do something. I developed that for"
4007280,4013280," myself. Right. So, and it's actually specifically fine tuned to my habits and stuff like that. So because"
4013280,4018400," of that, I generally do not recommend using it. Uh, right. But one of the things that we added in that"
4018400,4024480," session, we actually added a web interface for this thing. So you can actually do a Tor serve and it"
4024480,4029280," starts up the, uh, you know, the web socket interface. Right. And it shows you the current"
4029280,4034400," notifications, the current reminders and stuff like that. So, but that's the only thing it's capable of"
4034400,4042480," doing. And it's using a custom HTTP server written in C. This entire thing is written in C and it uses"
4042480,4048240," custom HTTP server. Like we're literally opening sockets. Uh, we're literally reading some data."
4048240,4054400," We're literally parsing the headers and stuff like that. And then we're generating, uh, the HTML back"
4054400,4060160," actually on the server side. We have, we also have our template in engine and you can learn more about"
4060160,4066000," all of that in that episode that I linked in the description. Uh, 90% of engine X in one stream. Yeah,"
4066000,4071120," exactly. That's what we did. So, and essentially what I want you to do, uh, right. I want you to apply"
4071120,4076560," this knowledge to the server. Right. So, because right now, uh, it doesn't do any of that stuff"
4076560,4082480," because it was written without like knowing any of this. Right. So that's the goal of today's stream"
4082480,4087920," for me was to actually like add a proper closing of the sockets and stuff like that. But I've been"
4087920,4094240," already yapping for, uh, one hour, right? So, and, uh, I kind of ran out of my tea. So I'd like to make a"
4094240,4099600," small break, make a cup of tea. And after that, we're going to actually try to, you know, integrate"
4099600,4106560," this entire thing into the web server of Tor. Sounds good. Sounds Gucci. Sounds what? Tamaguchi. Let's"
4106560,4112800," fucking go. All right. I'm back. Let's try to incorporate our newly discovered knowledge into"
4112800,4117760," the application. So first of all, I think I want to fetch the latest changes, uh, for the application."
4118240,4123600," So there's some stashes. I'm not sure how useful they are because they probably aren't right. So"
4123600,4126480," because I've been developing this thing on a different account, so it's probably something"
4126480,4132720," very, very old. Uh, so here are the recent commits and how many changes did I make in the application?"
4132720,4139520," Quite a few changes. I got to tell you, yeah, quite a few changes. So, oh, I even moved things around"
4139520,4145120," and stuff like that. Yeah. So now everything is located in its own folder. So it's been a while,"
4145120,4150320," actually. It's been a while. I wonder what's going to happen if I try to build this entire thing. Oh,"
4150320,4156080," it's trying to rebuild the entire SQLite. So this application uses SQLite for, for the database."
4156080,4161680," Uh, right. And it's actually using SQLite amalgamation, meaning it's a concatenation of each"
4161680,4169760," individual file of the source code of SQLite. And it's compiled as a single translation unit. So on my machine,"
4170480,4176240," on my pretty beefy laptop, it takes, I think like one minute or something to compile the entire"
4176240,4183520," amalgamation. Uh, well, not really like less than one minute. It's already done. So anyways, um, so let's"
4183520,4190880," take a look at what we've got in here. Tor, by the way, has a system of commands, right? And you can even"
4190880,4195920," look up, uh, you know, documentation for different commands and stuff like that. They have categories"
4195920,4204080," and stuff like that. And serve is a separate subcommand, right? So within the source code, though,"
4204080,4210080," we have a huge table of these commands. That's how the, uh, you know, the help is generated."
4210720,4217760," Here's the thing, actually, here's the thing. So if you do help, it shows you the description of the"
4217760,4223680," command, but it always shows you the, shows you the first line of the description, right? To see,"
4223680,4230240," to see full description, you have to do help that command and only then it will show you the full"
4230240,4238080," description. So our help, uh, help system literally parses and splits by the new lines. And in a short mode,"
4238080,4244880," it only shows you the first line. That's how advanced our system is. Anyway. So we need to find,"
4244880,4251040," uh, something like serve, right? So here is the serve. And here we have things like name, signature,"
4251040,4256960," description, blah, blah, blah. And most importantly, we have a function, which is code when you call this"
4256960,4261520," command. So let's actually find this function. Uh, we have like, you know, thousands and lines of code,"
4261520,4267280," right? So where is that function? Here it is. Here is the function. So we have a bunch of"
4267280,4273760," parameters and stuff like that, which we in fact ignore. We don't really use them in the server."
4273760,4280400," So we open up the database, right? We open up the database and we are starting, uh, you know,"
4280400,4286800," the server. So we intentionally, oh, this one is interesting node. Holy shit. This is such a cool"
4286800,4292400," node that I left myself. So let's actually read it. We're intentionally not listening to the external"
4292400,4298880," addresses, right? As you can see, we're only listening to this address, right? So, uh, by the way,"
4298880,4304720," how am I even using this address, right? I don't remember using that pin something, something,"
4304720,4311280," something. Oh, I'm using in, in that address, but I'm definitely copy pasted. That's somewhere"
4311280,4314560," from the internet. It doesn't really matter. So we're intentionally not listening to the external"
4314560,4319840," addresses because we're using a custom scuffed implementation of HTTP protocol, which is"
4319840,4325200," completely impossible, which is incomplete and possibly insecure. The serve command is meant to"
4325200,4331200," be used only locally by a single person, at least for now. We're doing it for the sake of simplicity,"
4331200,4337040," because we don't have to ship an entire proper HTTP server, right? So though, if you really want to,"
4337040,4343280," you can always slap some reverse proxy like nginx on top of this. So, right. So I think this is a"
4343280,4347520," reasonable thing to do, right? So we're only listening to local connections, right? So, because it's not"
4347520,4354720," meant to be served to several users, it's only for you, right? So, and if you need that, well, confirm"
4354720,4360480," that you know what you're doing by slapping nginx reverse proxy, right? So we've got some bits"
4360480,4365360," from void manager. Thank you so much for making this with the message. Speaking of TCP/IP, have you ever"
4365360,4374080," looked into the, into or done something with IPv6? Just curious. I actually have in the status bar a very"
4374080,4382640," funny thing. No, I haven't done anything with IPv6, but I think I should. Sounds like a pretty interesting"
4382640,4390000," topic. So I'll add it to my to-do list, right? So thank you so much. Man, like IPv6."
4391200,4401440," I think I heard that IPv6 is the future and it is going to replace IPv4 when I started to learn"
4401440,4412640," programming. In 2006, I think I heard that for the first time. So it's been almost 20 years,"
4413760,4417600," almost like 18 years. Where?"
4417600,4429520," I mean, even migrating from 32-bits to 64-bits been actually relatively successful as of today,"
4429520,4435360," right? So pretty much any user machine is actually 64-bit. There are some 32-bits and stuff like that,"
4435360,4439840," but the majority of the machine this day is 64, right? So because I remember back in the days,"
4440480,4448000," migrating from 32-bits to 64 and migrating from IPv4 to IPv6 were considered sort of like unsolvable"
4448000,4455520," problems. We kind of migrated to 64-bits pretty much, but we still couldn't migrate to IPv6."
4457200,4461520," IPv6 is preparing for a problem that shouldn't come up. Maybe."
4461520,4469280," So anyways, anyways, anyways, anyways, anyways. So."
4469280,4475040," Alrighty. So we're preparing the addresses. We're preparing the ports."
4475040,4482880," Here is the server FD. We open it up. We set some options, as you can see. We just set some options."
4482880,4490800," We prepare the address and we bind that address. Literally binding that address. Literally binding"
4490800,4499200," that address. Then we're obviously listening. So with 69, with a pool of 69. That's totally understandable."
4499760,4505520," And then we're just logging that we're listening to that specific address. So as far as I know, the port"
4505520,4516640," is configurable. In fact, I can, if I do this, it's 69, 69, but I can actually do 91, 9001, right? So it's"
4516640,4521360," configurable. The address is not configurable because again, it's only listens to local connections."
4521360,4528720," So we have a couple of like pools of data, right? So we're, when we perform SQL queries,"
4528720,4536720," we populate these dynamic arrays with data. And then on the next query, we clean it up for the next query."
4536720,4542640," Okay. So what are we doing here? We are accepting the connection. We're accepting the connection."
4543280,4550560," Then we're opening a transaction into the database. We're loading all of the necessary data, like"
4550560,4555120," notifications and reminders, because that's what we want to display in here, because all of that stuff"
4555120,4562880," comes from the database. So then we render the page and we have a very cool system for rendering the page."
4562880,4568800," So let me actually show you, this is how we render the page. So we have a literal template engine,"
4569760,4578160," right? That looks like HTML, but it also embeds C code, right? So as you can see, you can embed C code"
4578160,4583760," and you can generate some stuff in here. And we have a separate utility that takes this kind of templates"
4583760,4593440," and compiles it down to actual C. So it's a compilable template, right? And this HTML is generated by"
4593440,4601440," this template. So the compiled version of the template roughly looks like this, right? So here is the"
4601440,4610400," embedded C code that you saw in here. So for more information, again, watch that episode, the previous"
4610400,4617760," episode of the series. So that's basically what is going on in here. And then we're preparing the response,"
4617760,4624720," right? We're literally hard coding the response. So, and we're just transferring this entire data,"
4624720,4630080," simply transferring this entire data. Then we're committing the transaction, resetting everything"
4630080,4636240," and going on the next request. So what I'm thinking is that instead of closing, right? So instead of closing,"
4636240,4642320," what we probably have to do, we have to do that thing with shutting down the right connection and also"
4642320,4652480," draining the response. And in fact, in fact, we should probably drain the entirety of the response right"
4652480,4663200," away, right? That's what we have to do probably. So we just have to accept the response. Not response,"
4663200,4668720," but the request. So let's actually create a separate string builder specifically for the request."
4670080,4677440," Specifically for the request. So the thing with this web server in specific is that we literally just"
4677440,4684160," ignore the request. We literally just ignore it, right? Which is not a good idea because again,"
4684160,4689920," we may have like a very similar situation in here as was described in the article, right? So we send some"
4689920,4697840," stuff, we send some template and then we instantly close it, but we have some data pending to be read."
4697840,4705280," It's the request. So we have to do something about that data. Right. So let's go ahead and maybe"
4705280,4712480," start reading that request. So we're probably going to be reading it in chunks. So let's actually create"
4712480,4723200," like a chunk on 1024, right? So and essentially what we need to do, we just need to do read. And I forgot how to use read."
4723200,4728640," So let's actually look up the documentation for this beautiful, beautiful, magical POSIX function."
4728640,4735200," The POSIX function. Think thick and chunky. Exactly, my friend. Exactly, exactly."
4735200,4743680," So this is a client of D. So we're reading into the buffer. So this is the buffer and this is size of the buffer."
4744320,4754560," So in here, all right, so we get the N. And I suppose we're going to be doing all of that while N is greater"
4754560,4761120," than zero, right? So while N is greater than zero and we want to be appending all of that stuff"
4761120,4772560," into the request buffer. So we do have a function as be append buffer, right? We put a request in here, buffer and N."
4772560,4784880," So, but we may also have a situation when reading errors out, right? So if it errors out, we probably want to"
4785840,4789360," simply close the connection, right? So that's what we want to do."
4789360,4801600," But it would be kind of cool to actually use the semantic of the return in some sense. So essentially,"
4801600,4808080," I want to be able to do something like a next connection and it will automatically close the"
4808080,4813200," socket and do the right thing and go to the next connection. So an equivalent in this case would"
4813200,4819120," be probably continue, but that means I will have to explicitly do the close, which is not particularly"
4819120,4829760," great in my opinion. So maybe what would be better is to maybe extract this entire thing into a separate"
4829760,4836080," function, but then we're not going to have an access to this part in that function. So it's a little bit"
4836080,4841120," annoying, honestly. It's a little bit annoying. So I guess we're going to, we're going to do it the way"
4841120,4846560," we're doing it. So if we couldn't read, we're going to be just logging this into anything, std error,"
4846560,4858400," error, could not read request for this reason. So it's going to be str error, error no. And I'm actually just"
4858400,4867760," closing the client of d. And I also need to do this specific reset. And this is why I want you to,"
4867760,4870800," yeah, I just wanted to have defer."
4870800,4878560," Why can't, instead of like thinking about how do I restructurize all of that, may I just have a defer"
